mode,t,f,best_f,x_norm
quadratic_benchmark,1,-24.32000000000001,-24.32000000000001,1.6000000000000005
quadratic_benchmark,2,-44.019200000000026,-44.019200000000026,3.0400000000000005
quadratic_benchmark,3,-59.975552,-59.975552,4.336
quadratic_benchmark,4,-72.90019711999996,-72.90019711999996,5.5024
quadratic_benchmark,5,-83.3691596672001,-83.3691596672001,6.55216
quadratic_benchmark,6,-91.84901933043207,-91.84901933043207,7.496944000000004
quadratic_benchmark,1,3.0,1,2,2334.8573102577157,0.0,7.640456306325681,2364.251606939791,29.394296682075293,6.900640854498651
quadratic_benchmark,2,5.0,2,3,191461.45799411045,0.0,61.12159872755996,191490.8522907925,29.394296682075293,61.88770017505903
quadratic_benchmark,3,7.0,3,4,15510718.66605213,0.0,557.7334868916957,15510748.06034881,29.394296682075293,556.9696403046918
quadratic_benchmark,4,9.0,4,5,1256370553.6296284,0.0,5011.960960507243,1256370583.023925,29.394296682075293,5012.724991247809
quadratic_benchmark,5,11.0,5,6,101766017195.44037,0.0,45115.28878048672,101766017224.83467,29.394296682075293,45114.524763543595
quadratic_benchmark,6,13.0,6,7,8243047395419.583,0.0,406029.95884573844,8243047395448.978,29.394296682075293,406030.72286354867
quadratic_benchmark,7,15.0,7,8,667686839030848.2,0.0,3654277.269787103,667686839030877.6,29.394296682075293,3654276.505769322
quadratic_benchmark,8,17.0,8,9,5.408263396150545e+16,0.0,32888487.787907343,5.408263396150548e+16,29.394296682075293,32888488.551925123
quadratic_benchmark,9,19.0,9,10,4.3806933508820173e+18,0.0,295996397.7313463,4.3806933508820173e+18,29.394296682075293,295996396.96732855
quadratic_benchmark,10,21.0,10,11,3.54836161421444e+20,0.0,2663967571.9419413,3.54836161421444e+20,29.394296682075293,2663967572.705959
quadratic_benchmark,11,23.0,11,12,2.8741729075136934e+22,0.0,23975708155.117638,2.8741729075136934e+22,29.394296682075293,23975708154.35362
quadratic_benchmark,12,25.0,12,13,2.328080055086092e+24,0.0,215781373388.41858,2.328080055086092e+24,29.394296682075293,215781373389.18265
